item_code,sku,name,category,brand,pack_size,batch_number,expiry_date,cost_price,list_price,discount_percent,final_price,stock_quantity,product_page_url,is_active,Pricing_Tiers,display_order,haya_featured,haya_badge,nameAr,descriptionAr,categoryAr,image_url
MED-016,Hydrating Argan Conditioner,Hydrating Argan Conditioner,Body & Hair,The Body Shop,1 unit,AB,,5,15,0,5,400,/products/med-016,checked,,16,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-017,Coconut Oil Body Polish,Coconut Oil Body Polish,Body & Hair,Palmer's,1 unit,AB,,3,15,0,3,250,/products/med-017,checked,,17,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-018,High-Frequency Ozone Wand,High-Frequency Ozone Wand,Pro Tools,FOREO,1 unit,AB,,2,149,0,2,180,/products/med-018,checked,,18,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-019,Mineral SPF 50 Tinted Sunscreen,Mineral SPF 50 Tinted Sunscreen,Sun Care,Altruist,1 unit,AB,,2,32,0,2,320,/products/med-019,checked,,19,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-020,Brightening Day Serum SPF 25,Brightening Day Serum SPF 25,Serums & Actives,Vichy,1 unit,AB,,1,50,0,1,600,/products/med-020,checked,,20,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-021,Scalp Treatment Serum,Scalp Treatment Serum,Serums & Actives,Dove,1 unit,AB,,1,25,0,1,550,/products/med-021,checked,,21,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-022,EGF Growth Factor Serum,EGF Growth Factor Serum,Serums & Actives,Skinceuticals,1 unit,AB,,1,78,0,1,480,/products/med-022,checked,,22,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-023,Anti-Fatigue Eye Cream,Anti-Fatigue Eye Cream,Skincare,Neutrogena,1 unit,AB,,1,30,0,1,1100,/products/med-023,checked,,23,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-024,Brightening Body Milk SPF 15,Brightening Body Milk SPF 15,Sun Care,Moroccanoil,1 unit,AB,,2,30,0,2,1500,/products/med-024,checked,,24,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-025,Broad Spectrum SPF 50 Cream,Broad Spectrum SPF 50 Cream,Sun Care,Altruist,1 unit,AB,,13,25,0,13,45,/products/med-025,checked,,25,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-001,Invisible SPF 30 Face Mist,Invisible SPF 30 Face Mist,Sun Care,La Roche-Posay,1 unit,AB,,1,25,0,1,800,/products/den-001,checked,,26,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-002,Micellar Cleansing Water,Micellar Cleansing Water,Personal Care,CeraVe,1 unit,AB,,1,12,0,1,650,/products/den-002,checked,,27,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-003,SPF 50 Sport Water-Resistant,SPF 50 Sport Water-Resistant,Sun Care,Bondi Sands,1 unit,AB,,1,20,0,1,420,/products/den-003,checked,,28,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-004,Coffee Body Scrub,Coffee Body Scrub,Body & Hair,The Body Shop,1 unit,AB,,1,15,0,1,380,/products/den-004,checked,,29,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-005,Blush & Bronzer Duo,Blush & Bronzer Duo,Cosmetics,Charlotte Tilbury,1 unit,AB,,4,55,0,4,1200,/products/den-005,checked,,30,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-006,Keratin Repair Shampoo,Keratin Repair Shampoo,Body & Hair,Palmer's,1 unit,AB,,2,13,0,2,900,/products/den-006,checked,,31,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-007,Hydrating Daily Moisturiser SPF 15,Hydrating Daily Moisturiser SPF 15,Skincare,CeraVe,1 unit,AB,,5,18,0,5,450,/products/den-007,checked,,32,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-008,Copper Peptide 1% Serum,Copper Peptide 1% Serum,Serums & Actives,Paula's Choice,1 unit,AB,,2,42,0,2,120,/products/den-008,checked,,33,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-009,Niacinamide 10% + Zinc 1%,Niacinamide 10% + Zinc 1%,Serums & Actives,COSRX,1 unit,AB,11/5/2026,2,25,0,2,115,/products/den-009,checked,,34,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-010,T-Bar Facial Massage Roller,T-Bar Facial Massage Roller,Pro Tools,PMD,1 unit,AB,,7,59,0,7,180,/products/den-010,checked,,35,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-011,AHA 30% + BHA 2% Peeling Solution,AHA 30% + BHA 2% Peeling Solution,Serums & Actives,Drunk Elephant,1 unit,AB,,13,68,0,13,95,/products/den-011,checked,,36,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-012,Deep Pore Cleansing Mask,Deep Pore Cleansing Mask,Skincare,CeraVe,1 unit,AB,,13,20,0,13,88,/products/den-012,checked,,37,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-013,Pore-Refining Primer,Pore-Refining Primer,Cosmetics,Neutrogena,1 unit,AB,,18,20,0,18,65,/products/den-013,checked,,38,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-014,Gentle Eye Makeup Remover,Gentle Eye Makeup Remover,Personal Care,CeraVe,1 unit,AB,,10,15,0,10,75,/products/den-014,checked,,39,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-015,Contour & Highlight Palette,Contour & Highlight Palette,Cosmetics,MAC,1 unit,AB,,6,49,0,6,110,/products/den-015,checked,,40,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-016,Satin Lip Colour,Satin Lip Colour,Cosmetics,NARS,1 unit,AB,,1,26,0,1,500,/products/den-016,checked,,41,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-017,Derma Roller 0.5mm 540 Needles,Derma Roller 0.5mm 540 Needles,Pro Tools,NuFace,1 unit,AB,,5,199,0,5,200,/products/den-017,checked,,42,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-018,Exfoliating Face Scrub,Exfoliating Face Scrub,Personal Care,La Roche-Posay,1 unit,AB,,23,18,0,23,80,/products/den-018,checked,,43,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-019,Firming Neck Cream,Firming Neck Cream,Skincare,Vichy,1 unit,AB,,2,50,0,2,350,/products/den-019,checked,,44,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-020,Peptide Complex Firming Serum,Peptide Complex Firming Serum,Serums & Actives,The Ordinary,1 unit,AB,,27,28,0,27,45,/products/den-020,checked,,45,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-021,Plumping Lip Gloss,Plumping Lip Gloss,Cosmetics,Rare Beauty,1 unit,AB,,68,20,0,68,18,/products/den-021,checked,,46,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-022,Balancing Rose Toner Mist,Balancing Rose Toner Mist,Skincare,Cetaphil,1 unit,AB,,13,12,0,13,120,/products/den-022,checked,,47,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-023,Lightweight Gel-Cream Moisturiser,Lightweight Gel-Cream Moisturiser,Skincare,Cetaphil,1 unit,AB,,8,25,0,8,85,/products/den-023,checked,,48,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-024,SPF 50 Bronzing Sunscreen Oil,SPF 50 Bronzing Sunscreen Oil,Sun Care,Sun Bum,1 unit,AB,,4,25,0,4,650,/products/den-024,checked,,49,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
DEN-025,0.3% Retinol Renewal Serum,0.3% Retinol Renewal Serum,Serums & Actives,Paula's Choice,1 unit,AB,,18,45,0,18,35,/products/den-025,checked,,50,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-001,SPF 50+ Sensitive Skin,SPF 50+ Sensitive Skin,Sun Care,ISDIN,1 unit,AB,,3,25,0,3,800,/products/inf-001,checked,,51,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-002,Argan Oil Hair Serum,Argan Oil Hair Serum,Body & Hair,Moroccanoil,1 unit,AB,,14,25,0,14,320,/products/inf-002,checked,,52,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-003,Mandelic Acid 10% Serum,Mandelic Acid 10% Serum,Serums & Actives,COSRX,1 unit,AB,,4,32,0,4,600,/products/inf-003,checked,,53,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-004,Full Coverage Foundation SPF 15,Full Coverage Foundation SPF 15,Cosmetics,Fenty Beauty,1 unit,AB,,5,35,0,5,450,/products/inf-004,checked,,54,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-005,Gua Sha Rose Quartz Tool,Gua Sha Rose Quartz Tool,Pro Tools,BeautyBio,1 unit,AB,,6,69,0,6,380,/products/inf-005,checked,,55,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-006,Lactic Acid 10% + HA Serum,Lactic Acid 10% + HA Serum,Serums & Actives,Drunk Elephant,1 unit,AB,,2,42,0,2,900,/products/inf-006,checked,,56,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-007,Gentle Foaming Cleanser,Gentle Foaming Cleanser,Skincare,La Roche-Posay,1 unit,AB,,13,15,0,13,180,/products/inf-007,checked,,57,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-008,Glycolic Acid 7% Toning Solution,Glycolic Acid 7% Toning Solution,Skincare,COSRX,1 unit,AB,,18,18,0,18,150,/products/inf-008,checked,,58,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-009,Sensitive Skin Daily Cream,Sensitive Skin Daily Cream,Skincare,La Roche-Posay,1 unit,AB,,10,30,0,10,120,/products/inf-009,checked,,59,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-010,20% Vitamin C Brightening Serum,20% Vitamin C Brightening Serum,Serums & Actives,The Ordinary,1 unit,AB,,6,30,0,6,600,/products/inf-010,checked,,60,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-011,Salicylic Acid 2% Solution,Salicylic Acid 2% Solution,Skincare,Drunk Elephant,1 unit,AB,,7,34,0,7,500,/products/inf-011,checked,,61,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-012,Refreshing Eye Gel,Refreshing Eye Gel,Skincare,Vichy,1 unit,AB,,8,22,0,8,350,/products/inf-012,checked,,62,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-013,Hyaluronic Acid 2% Serum,Hyaluronic Acid 2% Serum,Serums & Actives,Skinceuticals,1 unit,AB,,3,66,0,3,800,/products/inf-013,checked,,63,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-014,Overnight Recovery Sleeping Mask,Overnight Recovery Sleeping Mask,Skincare,Vichy,1 unit,AB,,27,35,0,27,95,/products/inf-014,checked,,64,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-015,Sonic Facial Cleansing Brush,Sonic Facial Cleansing Brush,Pro Tools,FOREO,1 unit,AB,,2,99,0,2,600,/products/inf-015,checked,,65,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-016,Precision Brow Pencil,Precision Brow Pencil,Cosmetics,Fenty Beauty,1 unit,AB,,4,25,0,4,450,/products/inf-016,checked,,66,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-017,Rich Shea Butter Face Cream,Rich Shea Butter Face Cream,Skincare,Vichy,1 unit,AB,,5,28,0,5,380,/products/inf-017,checked,,67,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-018,Hair Growth Vitamin Serum,Hair Growth Vitamin Serum,Serums & Actives,The Body Shop,1 unit,AB,,23,25,0,23,45,/products/inf-018,checked,,68,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-019,RF Skin Tightening Device,RF Skin Tightening Device,Pro Tools,BeautyBio,1 unit,AB,,13,295,0,13,85,/products/inf-019,checked,,69,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
INF-020,Brightening Vitamin C Face Wash,Brightening Vitamin C Face Wash,Personal Care,Cetaphil,1 unit,AB,,6,10,0,6,300,/products/inf-020,checked,,70,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-001,Tranexamic Acid 5% Serum,Tranexamic Acid 5% Serum,Serums & Actives,The Ordinary,1 unit,AB,,4,24,0,4,1200,/products/ppe-001,checked,,71,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-002,SPF 30 Daily Moisturising Sunscreen,SPF 30 Daily Moisturising Sunscreen,Sun Care,La Roche-Posay,1 unit,AB,,13,30,0,13,450,/products/ppe-002,checked,,72,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-003,Polyglutamic Acid 2% Serum,Polyglutamic Acid 2% Serum,Serums & Actives,Drunk Elephant,1 unit,AB,,18,52,0,18,280,/products/ppe-003,checked,,73,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-004,Ultrasonic Facial Steamer,Ultrasonic Facial Steamer,Pro Tools,Mount Lai,1 unit,AB,,5,149,0,5,200,/products/ppe-004,checked,,74,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-005,EMS Microcurrent Face Lift Device,EMS Microcurrent Face Lift Device,Pro Tools,NuFace,1 unit,AB,,7,375,0,7,350,/products/ppe-005,checked,,75,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-006,Revitalising Rose Water Toner,Revitalising Rose Water Toner,Skincare,CeraVe,1 unit,AB,,2,18,0,2,800,/products/ppe-006,checked,,76,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-007,SPF 30 Lip Balm Vitamin E,SPF 30 Lip Balm Vitamin E,Sun Care,Altruist,1 unit,AB,,1,9,0,1,1500,/products/ppe-007,checked,,77,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-008,Shea Butter Body Lotion,Shea Butter Body Lotion,Body & Hair,Palmer's,1 unit,AB,,27,13,0,27,85,/products/ppe-008,checked,,78,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-009,SPF 50 Oil-Free Mattifying,SPF 50 Oil-Free Mattifying,Sun Care,Bondi Sands,1 unit,AB,,4,30,0,4,180,/products/ppe-009,checked,,79,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-010,Bakuchiol 0.5% Retinol Alternative,Bakuchiol 0.5% Retinol Alternative,Serums & Actives,The Ordinary,1 unit,AB,,2,14,0,2,900,/products/ppe-010,checked,,80,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-011,Deep Cleansing Charcoal Mask,Deep Cleansing Charcoal Mask,Personal Care,La Roche-Posay,1 unit,AB,,2,25,0,2,1100,/products/ppe-011,checked,,81,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-012,Anti-Cellulite Firming Oil,Anti-Cellulite Firming Oil,Body & Hair,OGX,1 unit,AB,,5,25,0,5,700,/products/ppe-012,checked,,82,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-013,Hydrating Deep Hair Mask,Hydrating Deep Hair Mask,Body & Hair,Dove,1 unit,AB,,5,15,0,5,650,/products/ppe-013,checked,,83,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-014,Nourishing Night Cream,Nourishing Night Cream,Skincare,Neutrogena,1 unit,AB,,3,25,0,3,550,/products/ppe-014,checked,,84,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
PPE-015,Daily UV Defence Fluid SPF 50,Daily UV Defence Fluid SPF 50,Sun Care,Bondi Sands,1 unit,AB,,7,35,0,7,120,/products/ppe-015,checked,,85,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-001,Moisturising Body Wash,Moisturising Body Wash,Personal Care,Dove,1 unit,AB,,3,7,0,3,600,/products/str-001,checked,,86,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-002,Ceramide Barrier Repair Serum,Ceramide Barrier Repair Serum,Serums & Actives,COSRX,1 unit,AB,,4,30,0,4,800,/products/str-002,checked,,87,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-003,Soothing Aloe Vera Face Gel,Soothing Aloe Vera Face Gel,Skincare,Cetaphil,1 unit,AB,,6,18,0,6,600,/products/str-003,checked,,88,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-004,Setting Spray Long Lasting,Setting Spray Long Lasting,Cosmetics,NARS,1 unit,AB,,53,30,0,53,25,/products/str-004,checked,,89,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-005,After Sun Tan Extender Lotion,After Sun Tan Extender Lotion,Sun Care,Sun Bum,1 unit,AB,,72,15,0,72,18,/products/str-005,checked,,90,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-006,Eyeshadow Palette 12 Shades,Eyeshadow Palette 12 Shades,Cosmetics,MAC,1 unit,AB,,2,49,0,2,400,/products/str-006,checked,,91,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-007,After Sun Soothing Gel,After Sun Soothing Gel,Sun Care,Sun Bum,1 unit,AB,,7,18,0,7,180,/products/str-007,checked,,92,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-008,Azelaic Acid 10% Brightening,Azelaic Acid 10% Brightening,Serums & Actives,Skinceuticals,1 unit,AB,,13,38,0,13,320,/products/str-008,checked,,93,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-009,Liquid Eyeliner Precision,Liquid Eyeliner Precision,Cosmetics,Fenty Beauty,1 unit,AB,,18,25,0,18,250,/products/str-009,checked,,94,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-010,Coconut Vanilla Body Oil,Coconut Vanilla Body Oil,Body & Hair,OGX,1 unit,AB,,23,15,0,23,180,/products/str-010,checked,,95,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-011,Alpha Arbutin 2% Dark Spot Serum,Alpha Arbutin 2% Dark Spot Serum,Serums & Actives,Paula's Choice,1 unit,AB,,5,55,0,5,450,/products/str-011,checked,,96,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-012,Anti-Ageing Day Cream SPF 20,Anti-Ageing Day Cream SPF 20,Skincare,Cetaphil,1 unit,AB,,8,40,0,8,220,/products/str-012,checked,,97,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-013,Ice Globes Face Massage Set,Ice Globes Face Massage Set,Pro Tools,Mount Lai,1 unit,AB,,13,49,0,13,95,/products/str-013,checked,,98,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-014,Idebenone Antioxidant Serum,Idebenone Antioxidant Serum,Serums & Actives,Skinceuticals,1 unit,AB,,18,88,0,18,65,/products/str-014,checked,,99,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
STR-015,Hydrating Tinted Moisturiser,Hydrating Tinted Moisturiser,Cosmetics,Charlotte Tilbury,1 unit,AB,,33,52,0,33,45,/products/str-015,checked,,100,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
